1.e-13,1.1758919657831675e-6
1.0232929922807536e-13,1.0727401678151462e-6
1.0471285480508985e-13,9.786437245948037e-7
1.0715193052376048e-13,8.928072540629292e-7
1.0964781961431829e-13,8.145052663689082e-7
1.1220184543019653e-13,7.430760201050736e-7
1.1481536214968841e-13,6.779159197574137e-7
1.1748975549395303e-13,6.184744039234086e-7
1.2022644346174131e-13,5.642492843185554e-7
1.2302687708123812e-13,5.147824942605238e-7
1.2589254117941663e-13,4.696562106319407e-7
1.2882495516931323e-13,4.2848931703026476e-7
1.3182567385564046e-13,3.90934177813453e-7
1.348962882591656e-13,3.566736956487183e-7
1.3803842646028865e-13,3.25418627879941e-7
1.4125375446227554e-13,2.969051386600362e-7
1.4454397707459279e-13,2.7089256633716115e-7
1.4791083881682072e-13,2.471613870321873e-7
1.5135612484362072e-13,2.25511357381955e-7
1.5488166189124795e-13,2.057598202510766e-7
1.584893192461111e-13,1.877401596872837e-7
1.621810097358933e-13,1.7130039139409316e-7
1.6595869074375632e-13,1.5630187730450265e-7
1.698243652461746e-13,1.4261815298802741e-7
1.7378008287493764e-13,1.3013385818875386e-7
1.7782794100389227e-13,1.187437613314165e-7
1.8197008586099824e-13,1.0835186977105051e-7
1.8620871366628656e-13,9.887061818290958e-8
1.9054607179632443e-13,9.022012835592712e-8
1.9498445997580416e-13,8.232753396347113e-8
1.9952623149688827e-13,7.512636470616507e-8
2.0417379446695316e-13,6.855598455509288e-8
2.089296130854041e-13,6.256107935812645e-8
2.1379620895022323e-13,5.7091189466208776e-8
2.187761623949552e-13,5.2100283425013205e-8
2.2387211385683378e-13,4.75463691261966e-8
2.29086765276777e-13,4.339113911348778e-8
2.3442288153199177e-13,3.9599647048520476e-8
2.398832919019495e-13,3.6140012610122353e-8
2.4547089156850336e-13,3.2983152304109915e-8
2.511886431509582e-13,3.010253392936908e-8
2.570395782768865e-13,2.747395260377058e-8
2.6302679918953815e-13,2.5075326467687785e-8
2.6915348039269137e-13,2.2886510331448655e-8
2.7542287033381635e-13,2.088912568715841e-8
2.818382931264449e-13,1.9066405650133667e-8
2.8840315031266116e-13,1.74030535205655e-8
2.95120922666639e-13,1.5885113763780662e-8
3.0199517204020193e-13,1.4499854318842464e-8
3.090295432513592e-13,1.3235659244953952e-8
3.162277660168379e-13,1.2081930791088712e-8
3.235936569296281e-13,1.1029000064487268e-8
3.3113112148259076e-13,1.0068045544210495e-8
3.3884415613920205e-13,9.191018745478874e-9
3.4673685045253095e-13,8.390576412055925e-9
3.5481338923357605e-13,7.66001865970233e-9
3.630780547701018e-13,6.9932325503206845e-9
3.7153522909717276e-13,6.384640617184119e-9
3.8018939632056127e-13,5.829153909729428e-9
3.890451449942805e-13,5.3221291578831754e-9
3.981071705534969e-13,4.859329696683422e-9
4.073802778041122e-13,4.436889818797889e-9
4.1686938347033463e-13,4.0512822557384604e-9
4.2657951880159343e-13,3.699288511981207e-9
4.3651583224016655e-13,3.377971801917647e-9
4.4668359215096347e-13,3.0846523609651025e-9
4.570881896148751e-13,2.8168849225872314e-9
4.677351412871981e-13,2.572438170828789e-9
4.786300923226381e-13,2.3492759951515527e-9
4.897788193684456e-13,2.1455403893704757e-9
5.011872336272715e-13,1.9595358502100852e-9
5.128613839913659e-13,1.7897151440605605e-9
5.248074602497734e-13,1.6346663216220142e-9
5.370317963702532e-13,1.493100871335505e-9
5.495408738576248e-13,1.3638429110683487e-9
5.62341325190349e-13,1.2458193275836814e-9
5.754399373371567e-13,1.138050780128235e-9
5.888436553555884e-13,1.0396434926618937e-9
6.025595860743568e-13,9.497817653389117e-10
6.16595001861481e-13,8.677211422488655e-10
6.309573444801942e-13,7.927821778341389e-10
6.456542290346562e-13,7.243447494276773e-10
6.606934480075964e-13,6.618428680682423e-10
6.760829753919819e-13,6.047599438807676e-10
6.918309709189363e-13,5.526244661363693e-10
7.079457843841374e-13,5.050060616631998e-10
7.244359600749892e-13,4.6151189841578305e-10
7.413102413009162e-13,4.2178340393620725e-10
7.585775750291852e-13,3.8549327114320447e-10
7.762471166286928e-13,3.523427262030992e-10
7.943282347242822e-13,3.220590355588002e-10
8.128305161640995e-13,2.9439323114169864e-10
8.317637711026708e-13,2.6911803464266814e-10
8.511380382023759e-13,2.4602596340406827e-10
8.709635899560797e-13,2.2492760201740966e-10
8.91250938133744e-13,2.0565002511681074e-10
9.120108393559115e-13,1.8803535811672508e-10
9.332543007969925e-13,1.719394638099687e-10
9.54992586021437e-13,1.5723074381246843e-10
9.772372209558112e-13,1.4378904478946774e-10
1.e-12,1.3150466029201465e-10
1.0232929922807536e-12,1.202774198302325e-10
1.0471285480508985e-12,1.1001585755095191e-10
1.071519305237605e-12,1.0063645354843235e-10
1.096478196143183e-12,9.206294145259009e-11
1.1220184543019652e-12,8.422567649429957e-11
1.148153621496884e-12,7.706105875699454e-11
1.1748975549395304e-12,7.051100678613587e-11
1.2022644346174132e-12,6.452247715122e-11
1.230268770812381e-12,5.904702594126313e-11
1.258925411794166e-12,5.4040408527332434e-11
1.2882495516931323e-12,4.9462214244980855e-11
1.31825673855641e-12,4.5275532944359435e-11
1.348962882591656e-12,4.144665062244456e-11
1.3803842646028866e-12,3.7944771595201844e-11
1.4125375446227555e-12,3.474176489062883e-11
1.445439770745928e-12,3.181193274649376e-11
1.4791083881682073e-12,2.9131799281605315e-11
1.5135612484362072e-12,2.6679917578846985e-11
1.5488166189124795e-12,2.4436693571624144e-11
1.584893192461111e-12,2.2384225266881818e-11
1.621810097358933e-12,2.050615596590153e-11
1.659586907437563e-12,1.8787540260767824e-11
1.698243652461746e-12,1.7214721691832884e-11
1.7378008287493763e-12,1.5775221048826216e-11
1.7782794100389228e-12,1.4457634386834436e-11
1.8197008586099825e-12,1.325153991017652e-11
1.8620871366628655e-12,1.2147412950668198e-11
1.9054607179632443e-12,1.113654833471141e-11
1.9498445997580415e-12,1.0210989495142408e-11
1.9952623149688827e-12,9.363463740102175e-12
2.0417379446695316e-12,8.587323142466437e-12
2.089296130854041e-12,7.8764905602679e-12
2.1379620895022326e-12,7.225410341307258e-12
2.1877616239495518e-12,6.629003304083408e-12
2.238721138568338e-12,6.082625622848087e-12
2.29086765276777e-12,5.582031277014008e-12
2.3442288153199275e-12,5.1233377548598745e-12
2.398832919019495e-12,4.702994728426617e-12
2.4547089156850334e-12,4.317755441294379e-12
2.5118864315095823e-12,3.964650573368548e-12
2.5703957827688646e-12,3.640964367432013e-12
2.6302679918953816e-12,3.3442128209344727e-12
2.691534803926914e-12,3.0721237636500385e-12
2.7542287033381634e-12,2.822618657430713e-12
2.8183829312644492e-12,2.593795968595058e-12
2.8840315031266117e-12,2.3839159764423824e-12
2.95120922666639e-12,2.1913868933363504e-12
3.0199517204020193e-12,2.0147521825935004e-12
3.090295432513592e-12,1.8526789703380383e-12
3.1622776601683794e-12,1.7039474565070352e-12
3.235936569296281e-12,1.5674412384479594e-12
3.3113112148259077e-12,1.4421384680647155e-12
3.3884415613920204e-12,1.3271037703488535e-12
3.4673685045253096e-12,1.221480857402437e-12
3.5481338923357604e-12,1.124485777780407e-12
3.6307805477010174e-12,1.0354007462142753e-12
3.7153522909717275e-12,9.535685035401164e-13
3.8018939632056125e-12,8.783871610188717e-13
3.8904514499428045e-12,8.093054872076364e-13
3.9810717055349695e-12,7.458185991685075e-13
4.073802778041122e-12,6.874640231237589e-13
4.168693834703363e-12,6.338180926818942e-13
4.2657951880159344e-12,5.844926555288215e-13
4.365158322401665e-12,5.391320619954569e-13
4.466835921509635e-12,4.974104112197945e-13
4.5708818961487516e-12,4.590290327207858e-13
4.677351412871981e-12,4.2371418312287177e-13
4.78630092322638e-12,3.9121493952251e-13
4.897788193684457e-12,3.6130127258896e-13
5.011872336272715e-12,3.337622839531728e-13
5.128613839913659e-12,3.084045937730521e-13
5.248074602497734e-12,2.8505086558321054e-13
5.370317963702533e-12,2.635384566496964e-13
5.495408738576248e-12,2.437181830676066e-13
5.6234132519034904e-12,2.2545318976697703e-13
5.754399373371567e-12,2.0861791644171462e-13
5.888436553555884e-12,1.930971511895898e-13
6.0255958607435685e-12,1.7878516435994638e-13
6.16595001861481e-12,1.6558491575087834e-13
6.309573444801943e-12,1.534073288889433e-13
6.456542290346563e-12,1.4217062666288857e-13
6.6069344800759645e-12,1.3179972307595568e-13
6.7608297539198185e-12,1.2222566633107499e-13
6.918309709189362e-12,1.1338512887436258e-13
7.079457843841373e-12,1.0521994039811204e-13
7.244359600749891e-12,9.767666014731784e-14
7.413102413009192e-12,9.070618518760551e-14
7.585775750291852e-12,8.42633915787718e-14
7.762471166286927e-12,7.830680565986657e-14
7.943282347242821e-12,7.27983028911031e-14
8.128305161640995e-12,6.770283191639071e-14
8.317637711026709e-12,6.298816171005538e-14
8.51138038202376e-12,5.862464985392068e-14
8.709635899560796e-12,5.4585030157779896e-14
8.912509381337441e-12,5.084421798879483e-14
9.120108393559116e-12,4.73791318147698e-14
9.332543007969923e-12,4.4168529593698487e-14
9.549925860214368e-12,4.119285875842364e-14
9.772372209558112e-12,3.843411865179076e-14
1.e-11,3.587573436501051e-14
1.0232929922807536e-11,3.350244102094671e-14
1.0471285480508986e-11,3.13001776254549e-14
1.0715193052376093e-11,2.925598968430313e-14
1.0964781961431828e-11,2.735793985124319e-14
1.1220184543019653e-11,2.5595025935047145e-14
1.148153621496884e-11,2.395710565023288e-14
1.1748975549395303e-11,2.2434827548227656e-14
1.202264434617413e-11,2.1019567613365825e-14
1.2302687708123811e-11,1.970337105161647e-14
1.2589254117941662e-11,1.847889883981232e-14
1.2882495516931322e-11,1.733937863955011e-14
1.3182567385564101e-11,1.6278559713311506e-14
1.3489628825916505e-11,1.5290671510818782e-14
1.3803842646028866e-11,1.437038562157058e-14
1.4125375446227554e-11,1.3512780815036164e-14
1.445439770745928e-11,1.2713310913352358e-14
1.4791083881682073e-11,1.1967775262759076e-14
1.5135612484362072e-11,1.1272291589589525e-14
1.5488166189124796e-11,1.062327104453898e-14
1.5848931924611107e-11,1.0017395255349723e-14
1.621810097358933e-11,9.451595223056667e-15
1.659586907437563e-11,8.923031910690786e-15
1.698243652461746e-11,8.429078385923292e-15
1.7378008287493762e-11,7.967303390657652e-15
1.7782794100389227e-11,7.535456221136275e-15
1.8197008586099825e-11,7.131452811791187e-15
1.8620871366628657e-11,6.75336292492573e-15
1.905460717963252e-11,6.399398356422183e-15
1.9498445997580414e-11,6.067902075104598e-15
1.9952623149688828e-11,5.757338220188533e-15
2.0417379446695317e-11,5.4662828874933704e-15
2.089296130854041e-11,5.193415640802642e-15
2.1379620895022323e-11,4.937511690003098e-15
2.187761623949552e-11,4.697434682430434e-15
2.2387211385683377e-11,4.472130058254885e-15
2.29086765276777e-11,4.260618924774352e-15
2.3442288153199276e-11,4.061992408184353e-15
2.398832919019485e-11,3.875406444789134e-15
2.4547089156850335e-11,3.7000769767288925e-15
2.5118864315095823e-11,3.5352755201594774e-15
