5.27892264453198e-12,3.14297334196989e-05
6.64576986409698e-12,1.34523235722543e-05
8.36652856284756e-12,5.9878773796485e-06
1.05328354162705e-11,2.81087138647236e-06
1.32600541637886e-11,1.4111769287098e-06
1.66934191485605e-11,7.69866018228949e-07
2.10157695758541e-11,4.64732833616705e-07
2.64572863674535e-11,3.13996753006783e-07
3.33077501351026e-11,2.44713778060741e-07
4.19319730547713e-11,2.29950305712945e-07
5.27892264453198e-11,2.95430283059832e-07
6.64576986409698e-11,1.35971832625485e-06
8.36652856284756e-11,2.70184244583224e-07
1.05328354162705e-10,1.04740601969943e-07
1.32600541637886e-10,6.11962673356815e-08
1.66934191485605e-10,4.30729943612375e-08
2.10157695758541e-10,3.37435998615881e-08
2.64572863674535e-10,2.84202226739022e-08
3.33077501351026e-10,2.51749960923759e-08
4.19319730547713e-10,2.3138153379888e-08
5.27892264453198e-10,2.18207504604232e-08
6.64576986409698e-10,2.09473648188934e-08
8.36652856284756e-10,2.03805077108923e-08
1.05328354162705e-09,2.00109432501895e-08
1.32600541637886e-09,1.97653508529011e-08
1.66934191485605e-09,1.96023005725384e-08
2.10157695758541e-09,1.95030915726501e-08
2.64572863674535e-09,1.94303233897323e-08
3.33077501351026e-09,1.93871253357576e-08
4.19319730547713e-09,1.93593201053705e-08
5.27892264453198e-09,1.93411735459125e-08
1.66934191485605e-08,1.93148685515498e-08
5.27892264453198e-08,1.93111154252158e-08
1.66934191485605e-07,1.93082192785708e-08
5.27892264453198e-07,1.93083249278963e-08
1.66934191485605e-06,1.9308444677505e-08
5.27892264453198e-06,1.93095689194107e-08
1.66934191485605e-05,1.930956882088e-08
5.27892264453198e-05,1.93095687960695e-08
